県,県No,学校名,出場回数,対戦校,試合,打率,総得点,安打,長打,本塁打,犠打,盗塁,投手数,投球回数,失策,失点,防御率,得点
和歌山,32,市和歌山,6,星稜,5,0.309,29,47,14,4,22,11,3,29.3,4,14,3.38,8
鳥取,33,境,8,明徳義塾,4,0.347,43,52,12,3,12,8,1,29,3,4,5.9,2
島根,34,出雲,1,智弁学園,6,0.312,31,53,9,0,23,18,1,40.3,6,16,2.9,1
岡山,35,創志学園,1,盛岡大付,6,0.332,40,67,17,1,14,12,2,34.7,3,4,0.78,8
広島,36,広島新庄,2,関東一,6,0.366,48,67,13,3,23,22,2,45,4,14,2.2,2
山口,37,高川学園,1,履正社,6,0.374,54,68,11,0,20,24,2,53,4,4,0.68,1
徳島,38,鳴門,11,佐久長聖,4,0.294,18,35,13,1,14,4,2,36,4,9,1.75,3
香川,39,尽誠学園,11,作新学院,6,0.367,48,66,15,3,26,11,2,32,3,15,2.25,0
愛媛,40,松山聖陵,1,北海,6,0.307,45,54,13,6,21,15,1,41.3,5,10,1.53,1
高知,41,明徳義塾,18,境,4,0.318,20,41,11,2,5,9,1,27,4,20,0.67,7
福岡,42,九州国際大附,7,盛岡大付,7,0.355,61,76,15,5,14,13,2,34.7,3,4,0.78,6
佐賀,43,唐津商,5,木更津総合,5,0.31,31,40,13,0,19,6,1,46,3,11,2.15,0
長崎,44,長崎商,7,山梨学院,5,0.225,20,32,11,0,19,3,2,21.7,3,10,2.49,3
熊本,45,秀岳館,2,常葉菊川,5,0.405,48,70,17,0,8,31,1,42,3,8,0.86,6
大分,46,大分,2,中京,5,0.339,43,60,8,3,12,10,1,30.3,4,9,1.19,4
宮崎,47,日南学園,8,八王子,5,0.377,49,63,16,1,11,6,1,31.3,4,15,3.74,7
鹿児島,48,樟南,19,京都翔英,7,0.296,27,68,14,1,33,9,2,38,7,8,1.89,9
沖縄,49,嘉手納,17,前橋育英,6,0.322,36,64,15,4,12,4,1,52,3,9,1.56,10
岩手,4,盛岡大付,9,創志学園,6,0.395,57,73,23,2,14,11,1,38,4,3,0.71,11
奈良,31,智弁学園,18,鳴門,5,0.319,33,51,10,5,19,6,1,28,6,7,1.93,2
徳島,38,鳴門,11,智弁学園,4,0.294,18,35,13,1,14,4,1,40.3,6,16,2.9,5
山梨,21,山梨学院,6,いなべ総合,5,0.49,77,73,23,5,6,5,2,29.3,1,7,0.92,2
三重,26,いなべ総合,2,山梨学院,5,0.353,37,53,7,1,6,9,2,21.7,3,10,2.49,7
茨城,9,常総学院,16,中京,6,0.31,39,53,13,3,9,12,1,30.3,4,9,1.19,8
岐阜,23,中京,6,常総学院,6,0.269,33,49,8,4,9,9,2,39.7,12,5,0.91,3
愛知,25,東邦,17,八戸学院光星,6,0.286,35,56,9,6,10,19,2,43.3,3,12,2.29,10
青森,3,八戸学院光星,8,東邦,6,0.375,53,69,19,3,20,23,1,34,5,4,0.53,9
神奈川,16,横浜,16,履正社,7,0.364,65,78,18,14,16,8,2,53,4,4,0.68,1
大阪,29,履正社,3,横浜,8,0.404,79,91,26,7,20,6,2,42,2,10,2.14,5
和歌山,32,市和歌山,6,日南学園,5,0.309,29,47,14,4,22,11,1,31,5,5,0.87,4
宮崎,47,日南学園,8,市和歌山,5,0.377,49,63,16,1,11,6,2,44,6,7,1.43,6
鹿児島,48,樟南,19,花咲徳栄,7,0.296,27,68,14,1,33,9,1,37,0,3,0,3
埼玉,12,花咲徳栄,4,樟南,7,0.389,68,81,16,4,22,8,1,44.7,1,6,1.01,6
広島,36,広島新庄,2,富山第一,6,0.366,48,67,13,3,23,22,2,30.3,7,6,0.59,7
富山,18,富山第一,2,広島新庄,5,0.336,45,46,9,0,24,16,1,44,5,10,2.05,1
沖縄,49,嘉手納,17,明徳義塾,6,0.322,36,64,15,4,12,4,1,29,3,4,5.9,5
高知,41,明徳義塾,18,嘉手納,4,0.318,20,41,11,2,5,9,1,43.3,4,7,1.45,13
熊本,45,秀岳館,2,いなべ総合,5,0.405,48,70,17,0,8,31,2,29.3,1,7,0.92,6
三重,26,いなべ総合,2,秀岳館,5,0.353,37,53,7,1,6,9,2,25.7,7,13,1.75,1
岩手,4,盛岡大付,9,鳴門,6,0.395,57,73,23,2,14,11,1,28,6,7,1.93,9
徳島,38,鳴門,11,盛岡大付,4,0.294,18,35,13,1,14,4,2,34.7,3,4,0.78,11
茨城,9,常総学院,16,履正社,6,0.31,39,53,13,3,9,12,2,53,4,4,0.68,7
大阪,29,履正社,3,常総学院,8,0.404,79,91,26,7,20,6,2,39.7,12,5,0.91,4
愛知,25,東邦,17,聖光学院,6,0.286,35,56,9,6,10,19,1,32.7,3,15,2.2,2
福島,8,聖光学院,13,東邦,6,0.333,39,61,13,3,16,13,1,34,5,4,0.53,5
埼玉,12,花咲徳栄,4,作新学院,7,0.389,68,81,16,4,22,8,2,32,3,15,2.25,2
栃木,10,作新学院,12,花咲徳栄,6,0.432,68,80,19,2,5,9,1,37,0,3,0,6
千葉,13,木更津総合,5,広島新庄,7,0.275,30,55,10,2,22,11,1,44,5,10,2.05,2
広島,36,広島新庄,2,木更津総合,6,0.366,48,67,13,3,23,22,1,46,3,11,2.15,0
宮崎,47,日南学園,8,北海,5,0.377,49,63,16,1,11,6,1,41.3,5,10,1.53,1
南北海道,2,北海,37,日南学園,7,0.379,50,80,15,3,34,2,1,31,5,5,0.87,4
